url,title,video,images,paragraph,bullets,examples,advanced,medium,easy,topic,facts and procedures,theories and meaning,steps given,practical ,thinking,tf,3,4,5,6,7
http://www.javatpoint.com/assertion-in-java,Java Assertion,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,assertion,TRUE,FALSE,FALSE,TRUE,FALSE,0.019914651,TRUE,FALSE,FALSE,FALSE,
http://javarevisited.blogspot.com/2012/01/what-is-assertion-in-java-java.html,What is Assertion in Java,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,assertion,TRUE,FALSE,TRUE,FALSE,TRUE,0.008634223,FALSE,FALSE,FALSE,FALSE,
https://www.youtube.com/watch?v=FRYYtdiMLck,assertion in Java | Assert in Java | Java Tutorials by Java9s,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,assertion,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,TRUE,TRUE,
https://docs.oracle.com/javase/tutorial/java/javaOO/classes.html,Classes,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,class,FALSE,TRUE,FALSE,FALSE,TRUE,0.010577705,TRUE,FALSE,FALSE,FALSE,
https://docs.oracle.com/javase/tutorial/java/javaOO/,Lesson: Classes and Objects�,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,class,TRUE,FALSE,FALSE,FALSE,TRUE,0.004135649,TRUE,FALSE,FALSE,FALSE,
https://docs.oracle.com/javase/tutorial/java/concepts/class.html,What Is a Class?,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,class,FALSE,TRUE,FALSE,TRUE,FALSE,0.009259259,TRUE,FALSE,FALSE,FALSE,
http://www.tutorialspoint.com/java/java_object_classes.htm,Java - Object & Classes�,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,class,TRUE,FALSE,TRUE,TRUE,FALSE,0.02699784,FALSE,TRUE,FALSE,FALSE,
https://docs.oracle.com/javase/tutorial/essential/exceptions/throwing.html,How to Throw Exceptions�,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,exceptions,FALSE,TRUE,FALSE,FALSE,TRUE,0.010745891,TRUE,FALSE,FALSE,FALSE,
https://docs.oracle.com/javase/tutorial/essential/exceptions/definition.html,What Is an Exception?,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,exceptions,FALSE,TRUE,FALSE,FALSE,TRUE,0.00627451,TRUE,FALSE,FALSE,FALSE,
http://www.tutorialspoint.com/java/java_exceptions.htm,Java - Exceptions�,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,exceptions,FALSE,TRUE,FALSE,TRUE,TRUE,0.011144131,TRUE,FALSE,FALSE,FALSE,
http://javarevisited.blogspot.com/2011/04/garbage-collection-in-java.html,How Garbage Collection works in Java,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,garbage collection,FALSE,TRUE,TRUE,FALSE,TRUE,0.014894339,FALSE,FALSE,FALSE,FALSE,
http://beginnersbook.com/2013/04/java-garbage-collection/,What is Garbage Collection in Java?,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,garbage collection,TRUE,TRUE,TRUE,FALSE,TRUE,0.012885356,FALSE,FALSE,FALSE,FALSE,
http://www.javatpoint.com/Garbage-Collection,Java Garbage Collection - javatpoint,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,garbage collection,TRUE,FALSE,FALSE,TRUE,FALSE,0.014319809,TRUE,FALSE,FALSE,FALSE,
http://www.dynatrace.com/en/javabook/how-garbage-collection-works.html,How Garbage Collection Works - Java Enterprise Performance Book | Dynatrace�,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,garbage collection,TRUE,TRUE,FALSE,FALSE,TRUE,0.004336684,TRUE,FALSE,FALSE,FALSE,
http://www.oracle.com/webfolder/technetwork/tutorials/obe/java/gc01/index.html,Java Garbage Collection Basics,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,garbage collection,FALSE,TRUE,FALSE,FALSE,TRUE,0.013842746,TRUE,FALSE,FALSE,FALSE,
http://beginnersbook.com/2013/03/multithreading-in-java/,Multithreading in java with examples,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,threads,TRUE,FALSE,TRUE,TRUE,FALSE,0.007419355,FALSE,TRUE,FALSE,FALSE,
http://beginnersbook.com/2013/03/java-threads/,Basics: All about Java threads�,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,threads,TRUE,FALSE,TRUE,TRUE,TRUE,0.011303693,FALSE,TRUE,FALSE,FALSE,
